id,serviceType,subscriptionType,bd,location,spending,status,serviceRate,signUpDate
1,Mobile,Premium,2020-05-07,Poltava,300,Active,3,2010-04-15
2,Fixed Line,Economy,2021-04-15,Kharkiv,50,Active,5,2003-09-26
3,Internet,Economy,1997-08-17,Kropyvnytskyi,300,Active,5,2001-03-10
4,Mobile,Standard,1930-05-01,Lviv,50,Active,5,2007-04-22
5,Mobile,Standard,2003-11-16,Zaporizhzhia,300,Active,3,2002-12-20
6,Mobile,Premium,2021-07-22,Uzhhorod,200,Active,5,2004-12-10
7,Mobile,Special,2016-02-27,Mykolaiv,500,Active,4,2000-08-14
8,Internet,Economy,2015-04-26,Dnipro,700,Active,5,2005-06-20
9,Internet,Premium,2011-09-19,Chernihiv,200,Active,3,2002-07-24
10,Mobile,Economy,2021-10-13,Odesa,200,Active,4,2002-03-24
11,Mobile,Standard,1958-08-03,Kharkiv,200,Potential,5,2021-05-25
12,Mobile,Economy,2003-02-28,Zhytomyr,100,Active,5,2003-02-06
13,IoT,Economy,1992-07-28,Chernivtsi,700,Inactive,5,2006-03-16
14,Mobile,Economy,2021-02-05,Uzhhorod,200,Potential,2,2005-05-30
15,TV,Economy,2021-06-24,Dnipro,100,Active,3,2000-08-08
16,TV,Business,1998-10-29,Mykolaiv,300,Active,4,2007-07-19
17,Internet,Premium,1963-03-28,Kyiv,100,Active,3,2002-02-19
18,Fixed Line,Special,2002-06-03,Kyiv,100,Active,3,2008-10-13
19,Mobile,Standard,1965-06-12,Cherkasy,200,Active,3,2005-02-14
20,Internet,Economy,1977-05-23,Odesa,300,Inactive,5,2002-02-01
21,Mobile,Economy,2020-11-04,Chernivtsi,200,Active,5,2002-05-31
22,TV,Economy,2016-10-29,Kharkiv,300,Potential,2,2007-03-14
23,Mobile,Economy,1993-08-26,Dnipro,100,Inactive,3,2004-05-16
24,Fixed Line,Standard,2006-12-16,Chernihiv,200,Active,3,2006-01-16
25,Mobile,Standard,2013-08-07,Ternopil,200,Active,4,2000-12-10
26,TV,Economy,2008-02-26,Kharkiv,900,Active,5,2008-06-19
27,Mobile,Economy,2006-11-15,Lviv,50,Active,2,2002-02-11
28,Internet,Economy,1956-11-27,Sumy,100,Active,4,2005-04-18
29,Mobile,Economy,2020-01-05,Odesa,700,Inactive,2,2000-08-31
30,Mobile,Economy,2014-01-07,Kyiv,900,Active,5,2002-02-14
31,Internet,Premium,2001-11-20,Poltava,500,Active,5,2005-09-24
32,TV,Economy,1990-03-13,Kyiv,50,Inactive,5,2001-10-02
33,Mobile,Premium,1995-09-26,Kropyvnytskyi,200,Active,2,2011-08-16
34,TV,Economy,1945-03-20,Poltava,200,Active,4,2005-12-04
35,Internet,Economy,1979-07-14,Kropyvnytskyi,500,Active,3,2011-03-08
36,TV,Business,2000-09-15,Odesa,50,Active,4,2002-10-03
37,Mobile,Standard,2016-05-21,Kropyvnytskyi,100,Inactive,3,2000-03-10
38,Mobile,Economy,2006-08-04,Kyiv,200,Potential,5,2004-09-12
39,TV,Business,1990-08-21,Kyiv,100,Active,4,2002-04-08
40,Mobile,Economy,1973-03-05,Kyiv,300,Active,4,2003-04-04
41,Internet,Economy,1935-01-20,Kharkiv,500,Active,5,2006-04-04
42,Mobile,Premium,1997-07-16,Kyiv,300,Inactive,4,2006-08-09
43,Mobile,Premium,2002-07-06,Kharkiv,200,Active,3,2000-02-25
44,Internet,Economy,2022-07-07,Odesa,500,Active,4,2008-01-12
45,Fixed Line,Economy,2020-12-14,Odesa,100,Active,5,2003-09-22
46,Internet,Business,2018-05-10,Poltava,100,Potential,4,2004-06-15
47,Mobile,Economy,2021-06-17,Kyiv,200,Active,4,2001-12-08
48,Mobile,Economy,2008-12-23,Ternopil,50,Active,5,2002-12-28
49,Mobile,Standard,2011-10-04,Zaporizhzhia,50,Inactive,4,2006-10-14
50,Mobile,Business,1995-03-26,Khmelnytskyi,200,Active,5,2008-03-17
51,TV,Economy,2001-12-31,Dnipro,700,Active,3,2002-09-06
52,Fixed Line,Premium,1998-03-11,Kropyvnytskyi,700,Active,4,2006-06-07
53,Mobile,Standard,2005-07-08,Zaporizhzhia,200,Potential,3,2001-08-19
