id,category0,category1,category2,category3,details,price,date
1,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,7360,2024-05-04
2,support,support_client,support_client_training,support_client_training_courses,Деталі для support client training courses,2464,2024-01-26
3,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_health,Деталі для staff tech insurance health,6867,2023-07-07
4,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,8680,2023-03-12
5,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,3339,2024-09-26
6,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,2436,2024-06-11
7,staff,staff_admin,staff_admin_salary,staff_admin_salary_bonus,Деталі для staff admin salary bonus,4622,2023-10-31
8,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,2301,2023-07-22
9,support,support_tech,support_tech_repair,support_tech_repair_parts,Деталі для support tech repair parts,2478,2023-09-10
10,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,5677,2023-02-13
11,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6476,2024-06-25
12,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,9346,2024-02-27
13,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,2725,2023-04-27
14,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_fiber,Деталі для infra cable upgrade fiber,3306,2023-05-15
15,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_legal,Деталі для extra consult outsourcing legal,5675,2023-07-15
16,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_modern,Деталі для infra cable upgrade modern,3181,2024-03-01
17,support,support_tech,support_tech_repair,support_tech_repair_devices,Деталі для support tech repair devices,6798,2024-02-16
18,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,7559,2024-03-28
19,staff,staff_admin,staff_admin_salary,staff_admin_salary_base,Деталі для staff admin salary base,4854,2023-05-03
20,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6515,2024-09-14
21,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,9531,2023-06-24
22,staff,staff_tech,staff_tech_salary,staff_tech_salary_bonus,Деталі для staff tech salary bonus,6452,2023-07-14
23,admin,admin_marketing,admin_marketing_events,admin_marketing_events_promos,Деталі для admin marketing events promos,3062,2024-09-05
24,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,3313,2024-05-05
25,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,2689,2024-05-08
26,staff,staff_tech,staff_tech_salary,staff_tech_salary_compensation,Деталі для staff tech salary compensation,6649,2023-07-09
27,infra,infra_base,infra_base_repair,infra_base_repair_equipment,Деталі для infra base repair equipment,6560,2023-04-02
28,staff,staff_tech,staff_tech_salary,staff_tech_salary_base,Деталі для staff tech salary base,8235,2023-09-06
29,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_firmware,Деталі для infra telecom modern firmware,3653,2024-03-04
30,infra,infra_base,infra_base_repair,infra_base_repair_servicing,Деталі для infra base repair servicing,5041,2024-01-05
31,infra,infra_cable,infra_cable_upgrade,infra_cable_upgrade_replace,Деталі для infra cable upgrade replace,4510,2023-05-27
32,extra,extra_consult,extra_consult_info,extra_consult_info_reviews,Деталі для extra consult info reviews,5658,2024-10-24
