Customer ID,Service Type,Tariff Type,Date of Birth,Location,Monthly Spending,Customer Status,Service Rating,Sign-up Date
1,Mobile,Business,1993-01-27,Zaporizhzhia,500+ UAH,Active,2,2004-03-06
2,Internet,Special,1975-07-06,Zaporizhzhia,500+ UAH,Active,3,2017-05-02
3,Internet,Premium,2018-05-27,Kharkiv,100-200 UAH,Potential,4,2007-06-30
4,TV,Business,1992-07-25,Zaporizhzhia,<100 UAH,Potential,2,2016-01-06
5,Mobile,Special,2010-10-02,Odesa,100-200 UAH,Potential,1,2015-07-02
6,Mobile,Business,2004-01-21,Kyiv,<100 UAH,Inactive,4,2021-11-12
7,Internet,Business,1990-04-11,Poltava,<100 UAH,Active,4,2002-06-13
8,Fixed Line,Special,2019-02-01,Zaporizhzhia,100-200 UAH,Inactive,2,2000-01-18
9,IoT,Economy,2002-11-01,Lviv,100-200 UAH,Inactive,2,2016-05-18
10,Fixed Line,Standard,2007-11-06,Odesa,100-200 UAH,Potential,1,2012-06-16
11,Mobile,Business,1971-01-31,Poltava,500+ UAH,Potential,1,2015-02-17
12,TV,Business,2000-06-09,Kharkiv,500+ UAH,Active,4,2016-07-03
13,Fixed Line,Business,2017-03-24,Kharkiv,<100 UAH,Inactive,5,2010-10-23
14,Fixed Line,Standard,1982-02-03,Kyiv,100-200 UAH,Inactive,4,2007-10-23
15,Mobile,Business,1982-07-04,Lviv,200-500 UAH,Active,5,2016-11-15
16,Internet,Business,2012-06-25,Zaporizhzhia,<100 UAH,Potential,1,2008-04-29
17,Mobile,Special,2017-03-27,Kharkiv,<100 UAH,Potential,3,2013-08-17
18,Fixed Line,Economy,1988-07-21,Dnipro,500+ UAH,Potential,2,2019-07-27
19,Fixed Line,Premium,2003-10-07,Kyiv,200-500 UAH,Potential,2,2003-06-21
20,TV,Premium,2015-10-02,Kyiv,200-500 UAH,Active,2,2000-03-12
21,Fixed Line,Standard,1974-10-03,Odesa,500+ UAH,Active,5,2005-08-16
22,TV,Premium,1994-03-26,Odesa,<100 UAH,Active,5,2017-06-19
23,Fixed Line,Economy,2009-01-05,Odesa,500+ UAH,Active,4,2012-05-31
24,Internet,Premium,2002-05-28,Poltava,200-500 UAH,Active,1,2020-09-21
25,Fixed Line,Economy,1976-04-27,Zaporizhzhia,500+ UAH,Potential,3,2011-12-31
26,TV,Economy,2012-12-21,Zaporizhzhia,100-200 UAH,Potential,5,2005-10-27
27,TV,Special,2000-11-18,Zaporizhzhia,100-200 UAH,Inactive,4,2016-10-10
28,TV,Premium,2017-07-02,Kharkiv,<100 UAH,Potential,4,2014-05-27
29,Fixed Line,Business,2000-01-26,Poltava,<100 UAH,Inactive,1,2017-12-22
30,TV,Standard,2010-09-14,Vinnytsia,500+ UAH,Potential,4,2014-08-18
31,IoT,Business,2019-05-03,Poltava,100-200 UAH,Potential,3,2009-11-24
32,Internet,Premium,2009-05-06,Kyiv,<100 UAH,Active,1,2006-01-25
33,Fixed Line,Premium,1994-07-21,Lviv,100-200 UAH,Potential,2,2001-03-20
34,TV,Business,1999-05-28,Dnipro,500+ UAH,Inactive,3,2006-09-29
35,Internet,Special,1998-08-23,Kharkiv,200-500 UAH,Active,2,2001-01-05
36,Fixed Line,Premium,1972-06-21,Kharkiv,200-500 UAH,Active,3,2009-06-02
37,Internet,Special,1989-04-02,Lviv,200-500 UAH,Potential,2,2004-12-11
38,IoT,Standard,1991-02-06,Kharkiv,<100 UAH,Active,4,2015-05-31
39,Fixed Line,Premium,1976-06-23,Lviv,200-500 UAH,Inactive,5,2004-10-27
40,TV,Business,1972-01-24,Poltava,100-200 UAH,Inactive,5,2001-10-13
41,Mobile,Special,1970-03-28,Vinnytsia,500+ UAH,Inactive,3,2018-05-16
42,TV,Standard,1987-10-30,Lviv,100-200 UAH,Inactive,2,2001-04-25
43,Fixed Line,Economy,1982-02-13,Kyiv,100-200 UAH,Active,3,2016-06-12
44,TV,Standard,1997-10-01,Zaporizhzhia,500+ UAH,Inactive,4,2020-05-10
45,Mobile,Special,2016-03-01,Kharkiv,500+ UAH,Inactive,5,2002-05-07
46,Mobile,Premium,1971-12-14,Kharkiv,100-200 UAH,Inactive,2,2012-04-04
47,Mobile,Premium,1991-10-01,Dnipro,100-200 UAH,Potential,2,2009-11-22
48,TV,Economy,2003-05-12,Lviv,500+ UAH,Potential,4,2017-06-29
49,Fixed Line,Special,1974-03-17,Dnipro,200-500 UAH,Active,5,2013-08-27
50,TV,Premium,2000-07-30,Poltava,100-200 UAH,Inactive,2,2006-02-04
51,Mobile,Premium,1988-06-11,Vinnytsia,500+ UAH,Active,5,2000-01-12
52,IoT,Special,2008-03-28,Dnipro,200-500 UAH,Potential,1,2010-07-29
53,Mobile,Standard,1982-05-16,Zaporizhzhia,500+ UAH,Potential,3,2019-08-01
54,Mobile,Business,1976-03-03,Vinnytsia,100-200 UAH,Active,4,2019-10-30
55,Fixed Line,Standard,1975-05-08,Dnipro,<100 UAH,Potential,2,2002-09-29
56,TV,Special,1994-09-21,Odesa,200-500 UAH,Inactive,1,2018-11-07
57,Fixed Line,Standard,1998-01-31,Kyiv,<100 UAH,Potential,2,2000-10-02
58,TV,Premium,1980-12-06,Lviv,200-500 UAH,Inactive,1,2002-01-08
59,Mobile,Special,1997-07-10,Kharkiv,200-500 UAH,Potential,1,2021-02-28
