id,category0,category1,category2,category3,details,price,date
1,admin,admin_office,admin_office_rent,admin_office_rent_utilities,Деталі для admin office rent utilities,6191,2023-01-21
2,staff,staff_support,staff_support_expenses,staff_support_expenses_travel,Деталі для staff support expenses travel,6578,2023-03-29
3,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_infra_mgmt,Деталі для extra it outsource infra mgmt,1769,2023-12-10
4,admin,admin_marketing,admin_marketing_events,admin_marketing_events_expos,Деталі для admin marketing events expos,6311,2023-10-04
5,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,9666,2023-02-28
6,staff,staff_support,staff_support_bonus,staff_support_bonus_perf,Деталі для staff support bonus perf,3734,2024-07-16
7,admin,admin_market,admin_market_research,admin_market_research_competitors,Деталі для admin market research competitors,4556,2024-10-08
8,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_finance,Деталі для extra consult outsourcing finance,9792,2023-11-12
9,staff,staff_admin,staff_admin_salary,staff_admin_salary_bonus,Деталі для staff admin salary bonus,3612,2023-12-06
10,admin,admin_market,admin_market_research,admin_market_research_surveys,Деталі для admin market research surveys,1775,2023-02-04
11,infra,infra_cable,infra_cable_maint,infra_cable_maint_preventive,Деталі для infra cable maint preventive,2021,2024-01-25
12,staff,staff_admin,staff_admin_salary,staff_admin_salary_compensation,Деталі для staff admin salary compensation,7873,2024-07-09
13,staff,staff_admin,staff_admin_dev,staff_admin_dev_certification,Деталі для staff admin dev certification,8629,2023-09-09
14,infra,infra_cable,infra_cable_maint,infra_cable_maint_check,Деталі для infra cable maint check,7863,2023-12-04
15,extra,extra_security,extra_security_guard,extra_security_guard_premises,Деталі для extra security guard premises,8208,2023-06-06
16,extra,extra_consult,extra_consult_outsourcing,extra_consult_outsourcing_hr,Деталі для extra consult outsourcing hr,3568,2023-12-10
17,infra,infra_telecom,infra_telecom_serv,infra_telecom_serv_config,Деталі для infra telecom serv config,7736,2024-01-27
18,support,support_client,support_client_training,support_client_training_seminars,Деталі для support client training seminars,6892,2024-05-04
19,staff,staff_tech,staff_tech_insurance,staff_tech_insurance_pension,Деталі для staff tech insurance pension,9392,2023-02-02
20,extra,extra_it_outsource,extra_it_outsource_infra_mgmt,extra_it_outsource_access_ctrl,Деталі для extra it outsource access ctrl,9154,2024-06-30
21,infra,infra_telecom,infra_telecom_purchase,infra_telecom_purchase_modules,Деталі для infra telecom purchase modules,4840,2023-01-05
22,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,7938,2024-01-28
23,staff,staff_admin,staff_admin_dev,staff_admin_dev_courses,Деталі для staff admin dev courses,8858,2024-07-28
24,infra,infra_base,infra_base_rent,infra_base_rent_land,Деталі для infra base rent land,8574,2023-08-19
25,extra,extra_it_outsource,extra_it_outsource_sys_mgmt,extra_it_outsource_sys_mgmt,Деталі для extra it outsource sys mgmt,2059,2024-06-08
26,support,support_client,support_client_equip,support_client_equip_headsets,Деталі для support client equip headsets,3693,2023-01-28
27,admin,admin_marketing,admin_marketing_events,admin_marketing_events_conferences,Деталі для admin marketing events conferences,2663,2024-05-20
28,admin,admin_office,admin_office_rent,admin_office_rent_parking,Деталі для admin office rent parking,8392,2024-01-20
29,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_replace,Деталі для infra telecom modern replace,6864,2023-09-16
30,support,support_client,support_client_equip,support_client_equip_computers,Деталі для support client equip computers,1663,2024-01-09
31,infra,infra_base,infra_base_rent,infra_base_rent_space,Деталі для infra base rent space,7585,2024-07-17
32,admin,admin_marketing,admin_marketing_ads,admin_marketing_ads_print,Деталі для admin marketing ads print,8554,2023-04-23
33,extra,extra_consult,extra_consult_info,extra_consult_info_research,Деталі для extra consult info research,1698,2023-04-23
34,staff,staff_admin,staff_admin_dev,staff_admin_dev_certification,Деталі для staff admin dev certification,1854,2023-08-13
35,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_firmware,Деталі для infra telecom modern firmware,6172,2024-11-02
36,admin,admin_market,admin_market_research,admin_market_research_surveys,Деталі для admin market research surveys,5218,2024-02-05
37,extra,extra_security,extra_security_cyber,extra_security_cyber_monitoring,Деталі для extra security cyber monitoring,2930,2024-05-25
38,infra,infra_base,infra_base_rent,infra_base_rent_utilities,Деталі для infra base rent utilities,3511,2023-12-15
39,support,support_tech,support_tech_update,support_tech_update_compat,Деталі для support tech update compat,7546,2023-12-12
40,support,support_client,support_client_training,support_client_training_seminars,Деталі для support client training seminars,2843,2024-05-03
41,infra,infra_telecom,infra_telecom_modern,infra_telecom_modern_replace,Деталі для infra telecom modern replace,2802,2024-04-17
42,staff,staff_support,staff_support_expenses,staff_support_expenses_meals,Деталі для staff support expenses meals,1262,2023-05-24
