id,price,speed,quality,support,clarity
1,5,10,10,6,9
2,1,5,4,4,8
3,4,4,10,5,6
4,2,3,7,7,8
5,1,3,4,1,9
6,8,3,4,1,5
7,6,6,2,7,1
8,3,10,10,6,9
9,8,9,9,10,8
10,4,1,6,6,1
11,7,8,4,3,9
12,2,1,2,1,9
13,7,6,6,2,9
14,10,3,1,10,1
15,6,7,8,9,10
16,3,7,3,8,5
17,8,8,3,4,8
18,6,10,9,2,2
19,2,10,7,6,1
20,6,5,7,8,5
21,7,7,8,5,9
22,6,5,7,5,3
23,6,1,7,2,1
24,7,1,10,2,9
25,2,1,2,7,5
26,7,6,4,5,7
27,3,6,6,6,1
28,5,4,8,3,1
29,3,8,6,1,7
30,8,4,7,5,9
31,9,6,5,2,1
32,5,1,1,1,5
33,1,9,1,8,4
34,3,7,4,1,10
35,4,2,1,6,9
36,5,8,4,9,8
37,1,5,2,7,6
38,7,8,7,7,2
39,3,6,7,5,4
40,6,7,9,5,6
41,10,7,6,4,9
42,1,6,10,1,5
43,7,5,2,2,7
44,10,5,9,3,9
45,1,7,2,2,5
46,2,3,7,8,8
47,6,4,1,4,9
48,2,7,2,6,3
49,1,6,1,8,10
50,7,8,7,4,9
51,3,7,7,1,1
52,8,10,9,3,5
53,10,3,10,6,2
54,1,5,4,3,1
55,4,8,9,2,9
56,8,10,7,6,9
57,5,3,5,1,4
58,3,3,3,9,2
59,2,2,10,10,10
60,2,9,3,6,4
61,3,3,3,8,2
62,10,5,7,3,3
63,1,6,7,6,7
64,3,1,2,9,9
65,10,10,9,10,5
66,2,5,2,3,5
67,6,8,10,8,10
68,9,6,4,3,6
69,1,7,1,5,3
70,4,6,9,4,1
71,5,7,5,5,9
72,7,6,2,5,9
73,1,1,3,5,1
74,10,8,8,4,6
75,1,2,3,8,3
76,2,2,6,7,8
77,8,2,10,3,7
78,6,4,1,10,10
79,1,7,1,1,1
80,7,4,3,3,9
81,8,10,2,6,5
82,8,1,2,6,9
83,2,7,5,7,4
84,7,3,6,8,10
85,3,3,8,3,9
86,7,1,3,1,10
87,5,6,5,2,3
88,5,9,10,2,2
89,7,6,4,10,7
90,9,5,10,5,5
91,4,3,5,6,1
92,4,6,10,6,2
93,9,8,7,3,7
94,6,7,7,3,4
95,9,5,1,8,8
96,3,5,6,5,2
97,8,5,7,10,7
98,1,4,3,2,3
99,10,5,9,9,2
100,1,6,2,8,4
101,3,7,7,9,4
102,2,5,8,10,5
103,10,5,8,6,6
104,1,9,6,9,1
105,7,6,1,9,9
106,7,8,3,8,8
107,6,2,1,3,7
108,9,4,5,6,2
109,6,4,8,3,1
110,3,7,6,2,10
111,5,4,5,8,10
112,8,6,2,7,2
113,7,1,10,10,7
114,4,5,5,4,8
115,10,9,3,6,8
116,1,1,7,7,7
117,7,9,7,7,2
118,2,4,7,1,8
119,10,1,5,4,4
120,9,1,2,6,5
121,10,9,10,6,5
122,8,5,3,3,6
123,6,4,6,10,9
124,1,8,9,1,4
125,3,6,2,6,5
126,6,6,2,1,10
127,1,1,1,1,7
128,1,2,7,2,3
129,5,10,7,8,9
130,2,10,7,9,4
131,7,7,3,2,10
132,5,7,4,6,5
133,2,9,7,3,5
134,9,5,9,9,6
135,8,7,2,3,5
136,5,10,1,8,7
137,3,2,10,4,1
138,6,9,7,9,2
139,5,1,1,4,6
140,2,2,2,9,8
141,3,10,6,2,4
142,3,2,8,3,2
143,8,8,1,5,5
144,2,9,8,8,5
145,8,7,5,5,3
146,4,8,7,8,6
147,3,2,6,10,9
148,10,3,10,1,9
149,1,4,5,10,7
150,7,1,9,6,3
151,2,3,6,1,3
152,7,1,7,1,4
153,1,4,1,2,7
154,2,2,7,1,8
155,9,2,6,10,9
156,4,4,3,2,10
157,9,3,7,6,1
158,9,5,4,5,10
159,1,2,4,4,9
160,3,1,3,3,7
161,1,3,1,2,5
162,1,7,1,3,5
163,4,5,9,10,6
164,5,6,3,6,5
165,4,9,8,8,2
166,4,4,4,4,6
167,3,4,6,3,6
168,2,7,9,3,7
169,5,5,8,9,1
170,6,7,5,5,7
171,2,1,4,4,5
172,7,7,9,4,8
173,3,6,1,7,6
174,5,9,5,6,2
175,4,1,2,6,4
176,6,6,7,7,10
177,3,10,9,9,3
178,4,7,9,5,9
179,9,2,6,8,3
180,2,4,8,3,7
181,4,1,1,9,1
182,5,5,6,7,3
183,5,5,2,5,10
184,8,9,5,5,4
185,8,5,7,5,9
186,10,10,6,4,10
187,1,10,1,3,7
188,4,2,5,8,9
189,10,8,4,3,5
190,1,6,4,8,8
191,7,8,4,2,1
192,2,3,9,1,5
193,4,9,2,4,9
194,9,6,9,7,6
195,10,5,7,4,1
196,4,10,1,10,5
197,4,1,9,4,8
198,9,4,6,4,1
199,2,5,9,3,9
200,5,10,10,6,4
201,6,9,5,5,10
202,8,2,1,7,9
203,4,10,4,10,4
204,7,7,5,9,9
205,4,6,8,4,1
